Yo soy:,Mi edad se encuentra entre:,"De las siguientes redes sociales, por favor seleccione las que utiliza:",Me gusta hablar y ver posts sobre:,Por favor responde las siguiente preguntas: [多Mantengo un salario actualmente?],Por favor responde las siguiente preguntas: [多Compraria cosas en linea?],Por favor responde las siguiente preguntas: [多Recomendaria paginas que me gustan?],Por favor responde las siguiente preguntas: [多Recomendaria contenido de personas que me gustan?]
Hombre,18 a 24 anios,"Instagram, Facebook, Twitter, TikTok","Deportes, Estudios, Comida, Musica",No,Si,Si,Si
Mujer,18 a 24 anios,"Instagram, Facebook, Twitter, TikTok, LinkedIn, Snapchat","Deportes, Cine (Series o peliculas), Politica, Estudios, Religion, Comida",No,Si,Si,No
Hombre,25 a 33 anios,"Instagram, TikTok","Politica, Estudios, Comida, Musica",Si,Si,Si,Si
Hombre,18 a 24 anios,"Instagram, Facebook, TikTok","Deportes, Cine (Series o peliculas), Musica",No,Si,Si,Si
Mujer,17 anios o menor,"TikTok, LinkedIn, Snapchat","Deportes, Cine (Series o peliculas), Politica, Estudios, Religion, Comida, Musica, Otros",Si,Si,Si,Si
Hombre,18 a 24 anios,"Instagram, Facebook, Twitter, TikTok, Snapchat","Deportes, Cine (Series o peliculas), Comida, Musica, Otros",No,Si,Si,Si
Hombre,18 a 24 anios,"Instagram, Facebook, TikTok","Deportes, Cine (Series o peliculas), Politica, Comida",No,Si,Si,Si
Hombre,18 a 24 anios,"Instagram, Facebook, Twitter, TikTok","Deportes, Musica, Otros",No,Si,Si,Si
Hombre,18 a 24 anios,"Instagram, Twitter","Cine (Series o peliculas), Otros",No,Si,Si,Si
Hombre,18 a 24 anios,"Instagram, Facebook, LinkedIn","Estudios, Comida, Musica, Otros",No,Si,Si,Si
Mujer,18 a 24 anios,"Instagram, Facebook, Twitter, TikTok, Snapchat","Cine (Series o peliculas), Comida, Otros",No,Si,Si,Si
Mujer,18 a 24 anios,"Instagram, Facebook, Twitter, TikTok, Snapchat","Politica, Comida, Musica, Otros",No,Si,Si,No
Hombre,18 a 24 anios,"Instagram, Facebook, TikTok","Cine (Series o peliculas), Comida, Musica, Otros",No,Si,Si,Si
Hombre,18 a 24 anios,"Instagram, Facebook, TikTok","Deportes, Cine (Series o peliculas), Politica, Estudios, Comida, Musica",Si,Si,Si,Si
Mujer,34 anios o mayor,"Instagram, Twitter, LinkedIn","Cine (Series o peliculas), Politica, Estudios, Comida, Musica",No,Si,Si,Si
Hombre,34 anios o mayor,TikTok,Comida,Si,Si,Si,Si
Mujer,18 a 24 anios,"Instagram, Twitter, TikTok","Deportes, Politica, Musica, Otros",No,Si,Si,Si
Hombre,34 anios o mayor,"Instagram, Facebook, Twitter, TikTok, LinkedIn","Deportes, Comida, Musica",Si,Si,No,No
Hombre,18 a 24 anios,"Instagram, Facebook, Twitter, TikTok","Cine (Series o peliculas), Estudios, Comida, Musica",No,Si,Si,Si
Mujer,18 a 24 anios,"Instagram, Twitter, TikTok, Snapchat","Estudios, Otros",No,Si,Si,Si
Mujer,18 a 24 anios,"Instagram, Facebook, TikTok, Snapchat","Deportes, Cine (Series o peliculas), Comida, Musica, Otros",No,Si,Si,Si
Mujer,18 a 24 anios,"Instagram, Twitter, TikTok","Cine (Series o peliculas), Comida, Musica",No,Si,Si,Si
Mujer,18 a 24 anios,"Instagram, TikTok","Deportes, Cine (Series o peliculas), Comida, Musica",No,Si,Si,Si
Mujer,34 anios o mayor,"Instagram, Twitter, LinkedIn","Cine (Series o peliculas), Politica, Estudios, Comida, Musica",No,Si,Si,Si
Hombre,18 a 24 anios,"Instagram, Facebook, Twitter, TikTok","Deportes, Cine (Series o peliculas), Politica, Musica",No,Si,Si,Si
Mujer,18 a 24 anios,"Instagram, Facebook, Twitter, TikTok","Deportes, Cine (Series o peliculas), Politica, Estudios, Comida",No,Si,Si,Si
Mujer,18 a 24 anios,"Instagram, Facebook, Twitter, TikTok, Snapchat","Deportes, Cine (Series o peliculas), Comida, Musica, Otros",No,Si,Si,Si
Mujer,18 a 24 anios,"Instagram, Facebook, Twitter, TikTok, Snapchat","Deportes, Cine (Series o peliculas), Comida, Musica, Otros",No,Si,Si,Si
Hombre,18 a 24 anios,"Instagram, Facebook, Twitter, TikTok, Snapchat","Deportes, Cine (Series o peliculas), Comida, Musica, Otros",No,Si,Si,Si
Mujer,18 a 24 anios,"Instagram, Facebook, Twitter, TikTok, Snapchat","Politica, Comida, Musica, Otros",No,Si,Si,No
Mujer,18 a 24 anios,"Instagram, Facebook, Twitter, TikTok","Deportes, Cine (Series o peliculas), Politica, Estudios, Comida",No,Si,Si,Si
Mujer,18 a 24 anios,Instagram,"Deportes, Politica, Comida, Otros",,Si,Si,Si
Hombre,18 a 24 anios,"Instagram, Facebook, Twitter, TikTok, LinkedIn, Snapchat","Deportes, Politica, Estudios, Comida, Musica",No,Si,,Si
Hombre,18 a 24 anios,"Instagram, Facebook, Twitter, TikTok","Deportes, Musica, Otros",No,Si,Si,Si
Mujer,18 a 24 anios,"Instagram, Facebook, Twitter","Politica, Estudios, Comida, Otros",Si,Si,Si,Si
Mujer,18 a 24 anios,"Instagram, Twitter, TikTok","Deportes, Politica, Musica, Otros",No,Si,Si,Si
Hombre,18 a 24 anios,"Instagram, Facebook, Twitter, TikTok, LinkedIn, Snapchat","Deportes, Politica, Estudios, Comida, Musica",No,Si,,Si
Hombre,18 a 24 anios,"Instagram, Facebook, Twitter, TikTok, LinkedIn, Snapchat","Deportes, Politica, Estudios, Comida, Musica",No,Si,,Si
Hombre,25 a 33 anios,"Instagram, Facebook, Twitter, TikTok, LinkedIn, Snapchat","Deportes, Cine (Series o peliculas), Politica, Estudios",Si,Si,Si,Si
Hombre,17 anios o menor,"Instagram, Facebook, Snapchat","Deportes, Cine (Series o peliculas), Otros",No,Si,Si,Si
